Seray|cina0798|61|1631|0|86|
Paola Ramon|PaolaRamon8|31|107|1|629|
BRAHIAN HERRERA|BRAHIANHERRERA5|34|327|0|4|
Thalia Avila|flakathaly69|35|233|0|54|
Luci Calero|CaleroLuci|4|40|0|0|
Edinson Huacon|HuaconEdinson|5|14|0|2|
Danny Vaca|djmuuu|72|171|0|13|
Yeimy Lorena Molina|YLMOLINA|111|219|1|23|
Lo del momento Loja|lodelmomentoloj|11996|1162|24|3772|
Elu Saucedo|EluSaucedo18|334|339|0|8|
Señor Coffee|coffeeparceros|144|633|1|19|
CANTACLARO|ilelsa|658|1300|1|52|
Liga de Loja |Lojanitos2440|654|741|1|4|
andres jaramillo|andres2jaram|52|179|0|0|
Fredy Altamirano|Fredy_Alcalde|538|1944|0|1|
raul fasanar palop|PalopRaul|111|626|0|0|
ferracini24h|ferraciniloja|26|58|0|0|
Abg. Hugo Ramírez|hugo_nero|391|2009|1|231|
Telexfree Loja|LojaTelexfree|281|647|1|8|
Álex Romero|alexito_romero|1646|1027|6|32|
